Estimate summary,,,,,,,,,
Upfront cost,Monthly cost,Total 12 months cost,Currency,,,,,,
10.48576,5794.802,69548.11,USD,,,,,,
,,* Includes upfront cost,,,,,,,
,,,,,,,,,
,,,,,,,,,
Detailed Estimate,,,,,,,,,
Group hierarchy,Region,Description,Service,Upfront,Monthly,First 12 months total,Currency,Status,Configuration summary
Reduced_Cost_Estimate,US East (N. Virginia),Initial_Cost_Estimate_VPC,Network Address Translation (NAT) Gateway,0,1415.25,16983,USD,,Number of NAT Gateways (1)
Reduced_Cost_Estimate,US East (N. Virginia),,S3 Standard,10.48576,1275.18,15312.65,USD,,"S3 Standard storage (50 TB per month), S3 Standard Average Object Size (25 MB)"
Reduced_Cost_Estimate,US East (N. Virginia),,Data Transfer,0,0,0,USD,,"DT Inbound: Internet (20 TB per month), DT Outbound: Amazon CloudFront (20 TB per month)"
Reduced_Cost_Estimate,US East (N. Virginia),Initial_Cost_Estimate_EC2,Amazon EC2 ,0,1372.272,16467.26,USD,,"Tenancy (Shared Instances), Operating system (Linux), Workload (Consistent, Number of instances: 12), Advance EC2 instance (t2.xlarge), Pricing strategy ( 1 Year  None upfront), Enable monitoring (enabled), EBS Storage amount (30 GB), DT Inbound: Internet (0 TB per month), DT Outbound: Not selected (0 TB per month), DT Intra-Region: (0 TB per month)"
Reduced_Cost_Estimate,US East (N. Virginia),,Application Load Balancer,0,208.05,2496.6,USD,,Number of Application Load Balancers (2)
Reduced_Cost_Estimate,US East (N. Virginia),Initial_Estimate_RDS,Amazon RDS for PostgreSQL,0,1524.05,18288.6,USD,,"Storage volume (General Purpose SSD (gp2)), Storage amount (30 GB), Nodes (2), Instance Type (db.m2.xlarge), Utilization (On-Demand only) (100 %Utilized/Month), Deployment Option (Multi-AZ), Pricing Model (OnDemand), Additional backup storage (30 GB), Total Size of Backup Processed for Export (GB) (50000 per month)"
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Acknowledgement,,,,,,,,,
"* AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services.",,,,,,,,,
,,,,,,,,,
,,,,,,,,,
"In order to fit in the reduced budget, I scaled back on the DB instance size (m3-> m2) assuming there will not be noticeable difference. Also scaled back EC2 instances from 16 to 12 and added a comute savings plan, although I did not include an upfront payment. Depending",,,,,,,,,
"on requirements, this could have helped reduce the budget further. Also changed S3 outbound Data Transfer to Amazon Cloudfront which is free.",,,,,,,,,
